# CompX
# Units
# None, usec, deg C/usec, deg C/usec^2, deg C/usec^3, m/s^2, m/s^2/usec, m/s^2/usec^2, None, None, usec, usec/usec, usec/usec^2, usec/usec^3, usec/usec^4
Serial, U0, Y1, Y2, Y3, C1, C2, C3, D1, D2, T1, T2, T3, T4, T5
501047, 5.773966, -4025.000, -11943.79, 0, 157.6163, -5.160424, -128.8565, 0.0322059, 0, 29.98440, -0.1303430, 21.86217, 0, 0
# CompY
501048, 5.773972, -4018.176, -11627.91, 0, 153.6424, -6.538896, -262.9954, 0.0304738, 0, 30.11740, -0.1440400, 25.04006, 0, 0
# CompZ
501046, 5.773958, -4018.389, -10905.61, 0, 157.5172, -5.656967, -120.3943, 0.0238502, 0, 30.15061, -0.1440400, 25.04006, 0, 0
