# CompX
# Units
# None, usec, deg C/usec, deg C/usec^2, deg C/usec^3, m/s^2, m/s^2/usec, m/s^2/usec^2, None, None, usec, usec/usec, usec/usec^2, usec/usec^3, usec/usec^4
Serial, U0, Y1, Y2, Y3, C1, C2, C3, D1, D2, T1, T2, T3, T4, T5
501069, 5.775809, -4048.764, -11767.44, 0, 152.6615, -4.337244, -313.3903, 0.0319794, 0, 30.24337, -0.2751720, 30.13583, 0, 0
# CompY
501070, 5.775837, -4025.122, -10455.25, 0, 154.6484, 0.3531580, -315.5064, 0.0288619, 0, 30.17034, -0.5549690, 35.45474, 0, 0
# CompZ
501067, 5.775853, -4016.969, -10598.80, 0, 155.5764, 1.147051, -285.8335, 0.0240919, 0, 30.09907, -0.3842430, 34.61129, 0, 0
