# CompX
# Units
# None, usec, deg C/usec, deg C/usec^2, deg C/usec^3, m/s^2, m/s^2/usec, m/s^2/usec^2, None, None, usec, usec/usec, usec/usec^2, usec/usec^3, usec/usec^4
Serial, U0, Y1, Y2, Y3, C1, C2, C3, D1, D2, T1, T2, T3, T4, T5
501015, 5.836793, -3994.062, -11598.55, 0, 157.1797, -6.465033, -508.9002, .0313720, 0, 30.19456, -.2994940,	29.17637, 0, 0
# CompY
501016, 5.836793, -3994.062, -11598.55, 0, 162.1121, -3.066009, -355.0289, .0291240, 0, 30.05145, -.3016610, 30.06018, 0, 0
# CompZ
501018, 5.836793, -3994.062, -11598.55, 0, 162.6038, -5.566172, -197.4990, .0245320, 0, 30.00438, -.2658740, 24.45160, 0, 0
